cve_estac,nom_estac,longitud,latitud,alt,obs_estac,id_station
ACO,Acolman,-98.912003,19.635501,2198,,4.8415E+11
AJU,Ajusco,-99.162611,19.154286,2942,,4.8409E+11
AJM,Ajusco Medio,-99.207744,19.272161,2548,,4.8409E+11
ARA,Arag—n,-99.074549,19.470218,2200,Finaliz— operaci—n en 2010,4.8409E+11
ATI,Atizapan,-99.254133,19.576963,2341,,4.8415E+11
AZC,Azcapotzalco,-99.198657,19.487728,2279,Finaliz— operaci—n en 2010,4.8409E+11
BJU,Benito Ju‡rez,-99.159596,19.370464,2249,Finaliz— operaci—n en 2005,4.8409E+11
CAM,Camarones,-99.169794,19.468404,2233,,4.8409E+11
CCA,Centro de Ciencias de la Atm—sfera,-99.176111,19.326111,2294,,4.8409E+11
CES,Cerro de la Estrella,-99.074678,19.334731,2219,Finaliz— operaci—n en 2010,4.8409E+11
CFE,Museo Tecnol—gico de la CFE,-99.194279,19.414393,2287,Finaliz— operaci—n en 1996,4.8409E+11
CHO,Chalco,-98.886088,19.266948,2253,,4.8415E+11
COR,CORENA,-99.02604,19.265346,2242,,4.8409E+11
COY,Coyoac‡n,-99.157101,19.350258,2260,,4.8409E+11
CUA,Cuajimalpa,-99.291705,19.365313,2704,,4.8409E+11
CUI,Cuitl‡huac,-99.165849,19.469859,2255,Finaliz— operaci—n en 1993,4.8409E+11
CUT,Cuautitl‡n,-99.198602,19.722186,2263,,4.84151E+11
DIC,Diconsa,-99.185774,19.298819,2305,,4.8409E+11
EAJ,Ecoguardas Ajusco,-99.203971,19.271222,2584,,4.8409E+11
EDL,Exconv. Desierto Leones,-99.310635,19.313357,2980,,4.8409E+11
FAC,FES Acatl‡n,-99.243524,19.482473,2299,,4.84151E+11
FAN,Felipe çngeles,-99.17492,19.299126,2279,Finaliz— operaci—n en 1996,4.8409E+11
GAM,Gustavo A. Madero,-99.094517,19.4827,2227,,4.8409E+11
HAN,Hangares,-99.083623,19.420518,2235,Finaliz— operaci—n en 2006,4.8409E+11
HGM,Hospital General de MŽxico,-99.152207,19.411617,2234,,4.8409E+11
IBM,Legaria,-99.21536,19.443319,2314,,4.8409E+11
IMP,Inst. Mexicano del Petr—leo,-99.147294,19.487561,2250,Finaliz— operaci—n en 2010,4.8409E+11
INN,Investigaciones Nucleares,-99.38052,19.291968,3082,,4.84151E+11
IZT,Iztacalco,-99.117641,19.384413,2238,,4.8409E+11
LAA,Lab. de Analisis Ambiental,-99.147312,19.483781,2255,,4.8409E+11
LAG,Lagunilla,-99.135183,19.44242,2223,Finaliz— operaci—n en 2010,4.8409E+11
LLA,Los Laureles,-99.039644,19.578792,2230,,4.8415E+11
LOM,Lomas,-99.242062,19.403,2434,,4.8409E+11
LPR,La Presa,-99.11772,19.534727,2302,,4.84151E+11
LVI,La Villa,-99.117749,19.46789,2228,Finaliz— operaci—n en 2010,4.8409E+11
MCM,Museo de la Cd. de MŽxico,-99.131924,19.429071,2237,,4.8409E+11
MER,Merced,-99.119594,19.42461,2245,,4.8409E+11
MGH,Mguel Hidalgo,-99.20266,19.40405,2327,,4.8409E+11
MIN,Metro Insurgentes,-99.162885,19.42144,2231,Finaliz— operaci—n en 2007,4.8409E+11
MON,Montecillo,-98.902853,19.460415,2252,,4.84151E+11
MPA,Milpa Alta,-98.990189,19.1769,2594,,4.8409E+11
NET,Netzahualcoyotl,-99.026119,19.42115,2230,Finaliz— operaci—n en 2000,4.84151E+11
NEZ,Nezahualc—yotl,-99.028212,19.393734,2235,,4.84151E+11
PED,Pedregal,-99.204136,19.325146,2326,,4.8409E+11
PER,La Perla,-98.991858,19.38286,2237,Finaliz— operaci—n en 2011,4.84151E+11
PLA,Plateros,-99.200109,19.365869,2345,Finaliz— operaci—n en 2010,4.8409E+11
POT,Portales,-99.145766,19.376494,2237,Finaliz— operaci—n en 1996,4.8409E+11
SAG,San Agust’n,-99.030324,19.532968,2241,,4.8415E+11
SFE,Santa fe,-99.262865,19.357357,2599,,4.8409E+11
SHA,Secretar’a de Hacienda,-99.207868,19.446203,2272,,4.8409E+11
SJA,San Juan Arag—n,-99.086095,19.452592,2258,,4.8409E+11
SNT,San Nicolas Totolapan,-99.256462,19.250385,2946,,4.8409E+11
SUR,Santa Ursula,-99.149994,19.31448,2279,,4.8409E+11
TAC,Tacuba,-99.202455,19.453907,2275,Finaliz— operaci—n en 2010,4.8409E+11
TAH,Tlahuac,-99.010564,19.246459,2297,,4.8409E+11
TAX,Taxque–a,-99.123204,19.335689,2242,Finaliz— operaci—n en 2010,4.8409E+11
TEC,Cerro del Tepeyac,-99.114229,19.487227,2265,,4.8409E+11
TLA,Tlalnepantla,-99.204597,19.529077,2311,,4.84151E+11
TLI,Tultitl‡n,-99.177173,19.602542,2313,,4.84151E+11
TPN,Tlalpan,-99.184177,19.257041,2522,,4.8409E+11
UAX,UAM Xochimilco,-99.103629,19.304441,2246,,4.8409E+11
UIZ,UAM Iztapalapa,-99.07388,19.360794,2221,,4.8409E+11
UNM,Unidad Movil,-99.147137,19.482238,,,4.8409E+11
VAL,Vallejo,-99.165702,19.522437,2248,Finaliz— operaci—n en 2010,4.8409E+11
VIF,Villa de las Flores,-99.09659,19.658223,2242,,4.8415E+11
XAL,Xalostoc,-99.0824,19.525995,2160,,4.8415E+11
XCH,Xochimilco,-99.118252,19.267066,2243,Finaliz— operaci—n en 1999,4.8409E+11